feature_name,feature_weight,AUC,logloss
101,0.0454176451293532,0.0454176451293532,0.004006732225509596
206,0.007868290401701561,0.007868290401701561,0.00046873768668381777
205,0.006728964660817405,0.006728964660817405,0.0004312376841549004
508,0.0060625866383156035,0.0060625866383156035,0.0005009960227605192
853,0.0060029018170868476,0.0060029018170868476,0.0004457959584601989
509,0.005509166201748128,0.005509166201748128,0.0004883322470004281
207,0.003707838941631736,0.003707838941631736,0.0002410176849136081
216,0.0027549146830245785,0.0027549146830245785,0.0001414356653348936
702,0.0010963050040656563,0.0010963050040656563,5.302436135812272e-05
122,0.0006945949463382783,0.0006945949463382783,8.965041759684267e-05
210,0.00040349767711223006,0.00040349767711223006,1.1280097478694184e-05
110_14,0.00031621945168980314,0.00031621945168980314,2.0309339361673784e-05
301,0.00031302839220237466,0.00031302839220237466,1.705471449101048e-05
109_14,0.00029249269831943536,0.00029249269831943536,1.3268275169231458e-05
150_14,0.00025950826136877936,0.00025950826136877936,2.349059116768526e-05
127_14,0.00016233518048047735,0.00016233518048047735,9.215304069609687e-06
127,0.00011760299228291693,0.00011760299228291693,1.1113578754357034e-05
124,9.33706175950677e-05,9.33706175950677e-05,1.9127527940143718e-05
129,5.2449523843645096e-05,5.2449523843645096e-05,3.1572871795892965e-06
121,3.066628798242821e-05,3.066628798242821e-05,2.4259807510085274e-06
128,2.9225194174919977e-05,2.9225194174919977e-05,2.3852998506379564e-06
125,2.869904314528604e-05,2.869904314528604e-05,3.5004206219990674e-06
126,1.463913251764648e-05,1.463913251764648e-05,5.158317275821833e-07
